Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,221.234,-96.012,0,top
C2,10uF,C_0603_1608Metric,218.948,-85.852,180,top
C3,10pF,C_0402_1005Metric,205.486,-77.216,180,top
C4,100nF,C_0402_1005Metric,218.694,-84.201,180,top
C5,100nF,C_0402_1005Metric,212.598,-74.676,0,top
C6,10pF,C_0402_1005Metric,205.74,-81.788,0,top
C7,100nF,C_0402_1005Metric,210.82,-76.454,90,top
C8,100nF,C_0402_1005Metric,220.599,-76.708,-90,top
C9,2.2uF,C_0402_1005Metric,216.916,-84.61,-90,top
C10,10nF,C_0402_1005Metric,210.566,-81.026,90,top
C11,1uF,C_0402_1005Metric,209.55,-81.026,90,top
C12,1uF,C_0402_1005Metric,211.582,-84.582,0,top
C13,100nF,C_0402_1005Metric,222.25,-97.282,0,top
C15,47nF,C_0402_1005Metric,207.897,-93.609,0,top
C16,0.22 uF,C_0402_1005Metric,207.897,-92.384,0,top
C17,47nF,C_0402_1005Metric,202.947,-89.134,90,top
C18,47nF,C_0402_1005Metric,206.822,-96.984,-90,top
C19,47nF,C_0402_1005Metric,200.697,-89.134,90,top
C20,10nF,C_0402_1005Metric,195.947,-96.434,90,top
C21,1.8nF,C_0402_1005Metric,198.247,-96.434,-90,top
C22,10nF,C_0402_1005Metric,197.072,-86.659,90,top
C23,47nF,C_0402_1005Metric,200.672,-98.859,90,top
C24,47nF,C_0402_1005Metric,197.097,-96.434,-90,top
C25,47nF,C_0402_1005Metric,202.822,-98.884,90,top
C26,56pF,C_0402_1005Metric,198.272,-88.734,90,top
C27,100pF,C_0402_1005Metric,198.297,-86.659,90,top
C28,47nF,C_0402_1005Metric,201.747,-98.884,90,top
C29,47nF,C_0402_1005Metric,199.597,-98.834,90,top
C30,39pF,C_0402_1005Metric,197.222,-92.309,0,top
C31,10pF,C_0402_1005Metric,203.317,-100.934,180,top
C32,5.1pF,C_0402_1005Metric,192.197,-95.384,0,top
C33,5.1pF,C_0402_1005Metric,192.122,-92.834,0,top
C34,2.2pF,C_0402_1005Metric,192.997,-88.959,0,top
C35,5.1pF,C_0402_1005Metric,191.297,-90.584,90,top
C36,10pF,C_0402_1005Metric,209.072,-98.309,-90,top
C37,6.2pF,C_0402_1005Metric,188.697,-88.184,90,top
D1,PWR_LED,LED_0402_1005Metric,226.568,-99.06,180,top
D2,LED,LED_0402_1005Metric,228.727,-84.328,0,top
D3,LED,LED_0402_1005Metric,228.727,-81.788,0,top
D4,TXT,LED_0402_1005Metric,226.568,-100.838,0,top
D5,RXT,LED_0402_1005Metric,226.568,-102.616,0,top
EX1,EXT1,PinHeader_1x07_P2.54mm_Vertical,202.443,-69.088,-90,top
FB1,120R,L_0603_1608Metric,209.804,-83.566,-90,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,228.4845,-91.158,90,top
L1,56nH,C_0402_1005Metric,197.672,-90.759,-90,top
L2,56nH,C_0402_1005Metric,194.122,-94.384,-90,top
L3,27nH,C_0402_1005Metric,189.072,-94.784,90,top
L4,27nH,C_0402_1005Metric,192.172,-94.109,180,top
L5,15nH,C_0402_1005Metric,192.997,-90.109,180,top
L6,15nH,C_0402_1005Metric,189.897,-92.784,0,top
L7,43nH,C_0402_1005Metric,190.072,-90.559,-90,top
L8,22nH,C_0402_1005Metric,188.222,-91.034,180,top
P1,AntMount,SMA_Amphenol_132134-11_Vertical,179.072,-91.059,0,top
R3,5.11k,R_0402_1005Metric,221.742,-92.71,0,top
R4,5.11k,R_0402_1005Metric,221.742,-89.916,0,top
R5,1k,R_0402_1005Metric,228.854,-99.06,0,top
R6,1k,R_0402_1005Metric,226.06,-84.328,180,top
R7,1k,R_0402_1005Metric,226.06,-81.788,180,top
R8,56k,C_0402_1005Metric,201.822,-89.134,90,top
R9,18k,C_0402_1005Metric,197.097,-88.734,90,top
R10,1k,R_0402_1005Metric,228.854,-100.838,180,top
R11,1k,R_0402_1005Metric,228.854,-102.616,180,top
R12,5.11k,R_0402_1005Metric,218.694,-96.901,180,top
SWD1,FLASH,PinHeader_1x06_P2.54mm_Vertical,219.202,-69.088,-90,top
U1,STM32F401CCU6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,215.646,-79.502,0,top
U2,CP2102N-Axx-xQFN20,WFQFN-20,220.218,-100.076,180,top
U3,CC1200,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,202.572,-94.234,180,top
X1,40MHz,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,208.022,-101.384,0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,205.486,-79.502,180,top
