Designator,Value,Package,Mid X,Mid Y,Rotation,Layer,,,,,,,,
AE2,Antenna_Shield,SMA_Amphenol_132134-11_Vertical,47.9552,-126.7968,0,top,,,,,,,,
C1,4.7uF,C_0603_1608Metric,91.44,-131.953,90,top,,,,,,,,
C2,10uF,C_0603_1608Metric,81.788,-136.525,45,top,,,,,,,,
C3,10pF,C_0402_1005Metric,92.964,-144.145,45,top,,,,,,,,
C4,100nF,C_0402_1005Metric,87.376,-148.336,-135,top,,,,,,,,
C5,100nF,C_0402_1005Metric,76.454,-146.05,45,top,,,,,,,,
C6,10pF,C_0402_1005Metric,93.599,-140.843,-45,top,,,,,,,,
C7,100nF,C_0402_1005Metric,87.63,-146.05,135,top,,,,,,,,
C8,100nF,C_0402_1005Metric,80.940589,-152.822589,135,top,,,,,,,,
C9,2.2uF,C_0402_1005Metric,77.724,-144.526,-135,top,,,,,,,,
C10,10nF,C_0402_1005Metric,83.058,-141.478,135,top,,,,,,,,
C11,1uF,C_0402_1005Metric,83.312,-140.208,135,top,,,,,,,,
C12,1uF,C_0402_1005Metric,81.956589,-138.852589,-45,top,,,,,,,,
C13,100nF,C_0402_1005Metric,91.313,-133.985,180,top,,,,,,,,
C15,47nF,C_0402_1005Metric,72.221411,-145.881411,-45,top,,,,,,,,
C16,0.22 uF,C_0402_1005Metric,72.898,-145.034,-45,top,,,,,,,,
C17,47nF,C_0402_1005Metric,71.836114,-138.37354,45,top,,,,,,,,
C18,47nF,C_0402_1005Metric,67.884802,-145.916955,135,top,,,,,,,,
C19,47nF,C_0402_1005Metric,70.758484,-137.295909,45,top,,,,,,,,
C20,10nF,C_0402_1005Metric,63.2968,-138.938,0,top,,,,,,,,
C21,1.8nF,C_0402_1005Metric,63.9852,-140.349196,180,top,,,,,,,,
C22,10nF,C_0402_1005Metric,70.578878,-135.679463,45,top,,,,,,,,
C23,47nF,C_0402_1005Metric,64.008,-143.764,45,top,,,,,,,,
C24,47nF,C_0402_1005Metric,61.214,-139.7,180,top,,,,,,,,
C25,47nF,C_0402_1005Metric,66.023811,-144.542189,45,top,,,,,,,,
C26,56pF,C_0402_1005Metric,69.880257,-134.941244,45,top,,,,,,,,
C27,100pF,C_0402_1005Metric,71.2775,-134.222823,-45,top,,,,,,,,
C28,47nF,C_0402_1005Metric,64.728411,-144.440589,45,top,,,,,,,,
C29,47nF,C_0402_1005Metric,63.773683,-142.484659,45,top,,,,,,,,
C30,39pF,C_0402_1005Metric,66.288154,-136.417683,-45,top,,,,,,,,
C31,10pF,C_0402_1005Metric,62.063159,-149.370051,-45,top,,,,,,,,
C32,5.1pF,C_0402_1005Metric,61.107113,-137.655235,-45,top,,,,,,,,
C33,5.1pF,C_0402_1005Metric,63.44198,-137.11642,-45,top,,,,,,,,
C34,2.2pF,C_0402_1005Metric,65.569734,-134.262421,-45,top,,,,,,,,
C35,5.1pF,C_0402_1005Metric,61.2648,-134.2644,45,top,,,,,,,,
C36,10pF,C_0402_1005Metric,65.475657,-149.549656,-135,top,,,,,,,,
C37,6.2pF,C_0402_1005Metric,60.99997,-132.591611,135,top,,,,,,,,
C67,0.1uF,C_0402_1005Metric,81.0768,-134.4676,90,top,,,,,,,,
C68,100pF,C_0402_1005Metric,58.928,-129.0828,135,top,,,,,,,,
C69,10nF,C_0402_1005Metric,58.2168,-129.794,135,top,,,,,,,,
C70,0.1uF,C_0402_1005Metric,59.6392,-128.4224,135,top,,,,,,,,
C71,0.1uF,C_0402_1005Metric,81.0996,-121.2596,0,top,,,,,,,,
C72,100pF,C_0402_1005Metric,54.6608,-126.4412,-135,top,,,,,,,,
C73,100pF,C_0402_1005Metric,56.3372,-124.8664,45,top,,,,,,,,
D1,PWR_LED,LED_0402_1005Metric,99.314,-120.142,180,top,,,,,,,,
D2,LED,LED_0402_1005Metric,99.314,-117.094,180,top,,,,,,,,
D3,LED,LED_0402_1005Metric,99.314,-119.126,180,top,,,,,,,,
D4,TXT,LED_0402_1005Metric,99.441,-133.35,0,top,,,,,,,,
D5,RXT,LED_0402_1005Metric,99.441,-134.493,0,top,,,,,,,,
EX1,EXT1,Molex_200528-0080_1x08-1MP_P1.00mm_Horizontal,71.882,-105.783999,180,top,,,,,,,,
FB1,120R,L_0603_1608Metric,83.360847,-138.478847,135,top,,,,,,,,
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,98.425,-126.746,90,top,,,,,,,,
J6,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,75.6312,-153.2636,-90,top,,,,,,,,
L1,56nH,C_0402_1005Metric,67.705196,-137.116304,-135,top,,,,,,,,
L2,56nH,C_0402_1005Metric,64.878821,-137.834841,-135,top,,,,,,,,
L3,27nH,C_0402_1005Metric,61.825534,-136.936815,135,top,,,,,,,,
L4,27nH,C_0402_1005Metric,64.1604,-136.398,135,top,,,,,,,,
L5,15nH,C_0402_1005Metric,64.851313,-134.980842,135,top,,,,,,,,
L6,15nH,C_0402_1005Metric,61.98534,-135.65978,135,top,,,,,,,,
L7,22nH,C_0402_1005Metric,61.738189,-131.892989,135,top,,,,,,,,
L16,43nH,L_0402_1005Metric,63.2968,-133.4008,-45,top,,,,,,,,
PE4259-63,4259-63,SOT-363_SC-70-6,57.0484,-127.2032,-45,top,,,,,,,,
R1,5.11k,R_0402_1005Metric,75.0824,-151.638,180,top,,,,,,,,
R3,5.11k,R_0402_1005Metric,91.694,-128.143,0,top,,,,,,,,
R4,5.11k,R_0402_1005Metric,91.821,-125.095,0,top,,,,,,,,
R5,1k,R_0402_1005Metric,99.314,-121.158,180,top,,,,,,,,
R6,1k,R_0402_1005Metric,98.933,-116.078,180,top,,,,,,,,
R7,1k,R_0402_1005Metric,99.314,-118.11,180,top,,,,,,,,
R8,56k,C_0402_1005Metric,72.175526,-136.55769,135,top,,,,,,,,
R9,18,C_0402_1005Metric,69.122238,-136.378085,-45,top,,,,,,,,
R10,1k,R_0402_1005Metric,99.441,-132.334,0,top,,,,,,,,
R11,1k,R_0402_1005Metric,99.441,-135.509,0,top,,,,,,,,
R12,5.11k,R_0402_1005Metric,90.805,-135.763,0,top,,,,,,,,
R13,0R,C_0402_1005Metric,60.301348,-130.456148,135,top,,,,,,,,
R17,100,R_0402_1005Metric,65.5828,-119.3292,0,top,,,,,,,,
R18,1000,R_0402_1005Metric,80.01,-134.4676,-90,top,,,,,,,,
R19,1k,R_0402_1005Metric,59.0804,-126.3904,-45,top,,,,,,,,
TH1,PT100,R_0603_1608Metric,62.8904,-119.3292,180,top,,,,,,,,
U1,STM32F401CCU6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,82.020136,-147.123223,-135,top,,,,,,,,
U2,CP2102N-Axx-xQFN20,WFQFN-20,93.992,-135.662,-90,top,,,,,,,,
U3,CC1200,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,68.782827,-141.426827,135,top,,,,,,,,
U7,MCP41010,SOIC127P599X175-8N,82.55,-125.626501,90,top,,,,,,,,
U8,MCP6001-OT,SOT-23-5,77.4192,-123.6105,180,top,,,,,,,,
X1,40MHz,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,63.5,-147.574,-45,top,,,,,,,,
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,91.44,-142.494,45,top,,,,,,,,
